LOVID,LOVName,value
Eco_LOV_1574,Valve Type,Cartridge Angle Dual Check Valve
Eco_LOV_1574,Valve Type,STR Cartridge Dual Check Valve
Eco_LOV_1574,Valve Type,Roman Tub Diverter Valve
Eco_LOV_1574,Valve Type,Yoke Ball Valve
Eco_LOV_1574,Valve Type,3-Way Valve
Eco_LOV_1574,Valve Type,Meter Angle Ball Valve
Eco_LOV_1574,Valve Type,Balancing Valve
Eco_LOV_1574,Valve Type,Dual Check Valve
Eco_LOV_1574,Valve Type,Pressure Balancing Valve
Eco_LOV_1574,Valve Type,Reduced Pressure Zone Detector Assembly
Eco_LOV_1574,Valve Type,Drain Valve
Eco_LOV_1574,Valve Type,Oil Valve
Eco_LOV_1574,Valve Type,Pinch Valve
Eco_LOV_1574,Valve Type,Straight Log Lighter Valve Kit
Eco_LOV_1574,Valve Type,Angle Service Key Valve
Eco_LOV_1574,Valve Type,Slide Gate Valve
Eco_LOV_1574,Valve Type,Fusible Safety Valve
Eco_LOV_1574,Valve Type,Lockout and Vent Valve
Eco_LOV_1574,Valve Type,Pressure Regulating Valve
Eco_LOV_1574,Valve Type,Hydronic Pressure Regulating Valve
Eco_LOV_1574,Valve Type,Angle Log Lighter Valve
Eco_LOV_1574,Valve Type,Service Valve
Eco_LOV_1574,Valve Type,2-Way Valve
Eco_LOV_1574,Valve Type,Double Coaxial Valve
Eco_LOV_1574,Valve Type,Yoke Angle Ball Valve
Eco_LOV_1574,Valve Type,Log Lighter Valve
Eco_LOV_1574,Valve Type,Tub & Shower Transfer Valve
Eco_LOV_1574,Valve Type,Piston Actuated Valve
Eco_LOV_1147,Valve Trim Type,Volume Control
Eco_LOV_1147,Valve Trim Type,Pressure Balancing
Eco_LOV_1147,Valve Trim Type,Thermostatic
Eco_LOV_1147,Valve Trim Type,Transfer & Diverter
Eco_LOV_1573,Valve Stem,Soft Seat PCTFE
Eco_LOV_1573,Valve Stem,Live-loaded
Eco_LOV_1573,Valve Stem,Bottom-loaded
Eco_LOV_1573,Valve Stem,Extension
Eco_LOV_1573,Valve Stem,Rising
Eco_LOV_1573,Valve Stem,Rising OS&Y
Eco_LOV_1573,Valve Stem,Pre-Grooved
Eco_LOV_1573,Valve Stem,Non-Rotating
Eco_LOV_1573,Valve Stem,Standard
Eco_LOV_1573,Valve Stem,Regulating Stem
Eco_LOV_1573,Valve Stem,Vee-point
Eco_LOV_1573,Valve Stem,Non-rising
Eco_LOV_1573,Valve Stem,Outside
Eco_LOV_1573,Valve Stem,Resilient Wedge
Eco_LOV_1573,Valve Stem,Rupture‐Proof
Eco_LOV_1573,Valve Stem,20 Point
Eco_LOV_1573,Valve Stem,Inside
Eco_LOV_1573,Valve Stem,Guided
Eco_LOV_1573,Valve Stem,Blowout-proof
Eco_LOV_1573,Valve Stem,Adjustable Packing
Eco_LOV_1573,Valve Stem,Double-D
Eco_LOV_1573,Valve Stem,Leakproof
Eco_LOV_1573,Valve Stem,Bottom-loaded/Blowout-proof
Eco_LOV_1572,Valve Seat Material,SBR
Eco_LOV_1572,Valve Seat Material,RTRFE
Eco_LOV_1572,Valve Seat Material,Virgin PTFE
Eco_LOV_1572,Valve Seat Material,Acetal Homopolymer
Eco_LOV_1572,Valve Seat Material,15% Glass Filled PTFE
Eco_LOV_1572,Valve Seat Material,PEX
Eco_LOV_1572,Valve Seat Material,PPS
Eco_LOV_1572,Valve Seat Material,Nickel
Eco_LOV_1572,Valve Seat Material,Carbon Graphite
Eco_LOV_1572,Valve Seat Material,Metal Seated
Eco_LOV_1572,Valve Seat Material,Multi-Seal
Eco_LOV_1572,Valve Seat Material,Virgin Teflon<REG/>
Eco_LOV_1572,Valve Seat Material,Uniseal<REG/>
Eco_LOV_1572,Valve Seat Material,PTFE Durafill
Eco_LOV_1572,Valve Seat Material,Stellite<REG/>
Eco_LOV_1572,Valve Seat Material,Ametal
Eco_LOV_1572,Valve Seat Material,25% Glass Filled RTFE
Eco_LOV_1572,Valve Seat Material,Cast Copper Alloy
Eco_LOV_1572,Valve Seat Material,Polyprel<REG/>
Eco_LOV_1572,Valve Seat Material,Multi-seal
Eco_LOV_1572,Valve Seat Material,"RPTFE, 15% Glass Reinforced"
Eco_LOV_1572,Valve Seat Material,TMHT
Eco_LOV_1572,Valve Seat Material,High Strength Engineered Resin
Eco_LOV_1572,Valve Seat Material,Polysulphone
Eco_LOV_1572,Valve Seat Material,Eudurfill
Eco_LOV_1572,Valve Seat Material,Bronze
Eco_LOV_1572,Valve Seat Material,Ni-Cr
Eco_LOV_1572,Valve Seat Material,Nylon
Eco_LOV_1572,Valve Seat Material,Monel<REG/>
Eco_LOV_1572,Valve Seat Material,Monel<REG/> 500
Eco_LOV_1572,Valve Seat Material,Glass Reinforced RTFE
Eco_LOV_1572,Valve Seat Material,Neoprene
Eco_LOV_1572,Valve Seat Material,Conical
Eco_LOV_1572,Valve Seat Material,Carbon Filled TFE
Eco_LOV_1572,Valve Seat Material,PPS Coated Ductile Iron
Eco_LOV_1572,Valve Seat Material,NBR
Eco_LOV_1572,Valve Seat Material,13% Cr
Eco_LOV_1572,Valve Seat Material,Alloy
Eco_LOV_1572,Valve Seat Material,Fluoroelastomer
Eco_LOV_1572,Valve Seat Material,Chromium Steel
Eco_LOV_1572,Valve Seat Material,Varies
Eco_LOV_1572,Valve Seat Material,Engineered Polymer
Eco_LOV_1572,Valve Seat Material,Modified TFE
Eco_LOV_1572,Valve Seat Material,G2TFE
Eco_LOV_1572,Valve Seat Material,FPM
Eco_LOV_1572,Valve Seat Material,Durlon II
Eco_LOV_1572,Valve Seat Material,Cast Bronze
Eco_LOV_1572,Valve Seat Material,TFM 1600
Eco_LOV_1572,Valve Seat Material,ASTM B62 Brass
Eco_LOV_1572,Valve Seat Material,PEEK
Eco_LOV_1572,Valve Seat Material,304
Eco_LOV_1572,Valve Seat Material,Chrome
Eco_LOV_1572,Valve Seat Material,Polyurethane
Eco_LOV_1572,Valve Seat Material,Reinforced TFE
Eco_LOV_1572,Valve Seat Material,Polyfill
Eco_LOV_1572,Valve Seat Material,Graphite
Eco_LOV_1572,Valve Seat Material,MRTFE
Eco_LOV_1572,Valve Seat Material,Noryl<REG/>
Eco_LOV_1572,Valve Seat Material,RTFE
Eco_LOV_1572,Valve Seat Material,Carbon Steel
Eco_LOV_1572,Valve Seat Material,Hardened Chrome Steel
Eco_LOV_1572,Valve Seat Material,304L
Eco_LOV_1572,Valve Seat Material,Iron
Eco_LOV_1572,Valve Seat Material,Reinforced PTFE
Eco_LOV_1572,Valve Seat Material,17-4 PH Stainless Steel
Eco_LOV_1572,Valve Seat Material,Titanium
Eco_LOV_1572,Valve Seat Material,Durafill <REG/>
Eco_LOV_1572,Valve Seat Material,Cast Brass
Eco_LOV_1572,Valve Seat Material,Polyphenylene Ether
Eco_LOV_1572,Valve Seat Material,Polycarbonate
Eco_LOV_1572,Valve Seat Material,Inconel 718
Eco_LOV_1572,Valve Seat Material,RPTFE
Eco_LOV_1572,Valve Seat Material,Santoprene
Eco_LOV_1572,Valve Seat Material,Plastic
Eco_LOV_1572,Valve Seat Material,Chloramine-Resistant Silicone
Eco_LOV_1572,Valve Seat Material,Integral Hard Face
Eco_LOV_1572,Valve Seat Material,Steel
Eco_LOV_1572,Valve Seat Material,Copper Silicon Alloy
Eco_LOV_1572,Valve Seat Material,Urethane
Eco_LOV_1572,Valve Seat Material,Epoxy
Eco_LOV_1572,Valve Seat Material,Phenolic
Eco_LOV_1572,Valve Seat Material,ASTM B62
Eco_LOV_1572,Valve Seat Material,CoCr Alloy
Eco_LOV_1572,Valve Seat Material,Nitrile Rubber
Eco_LOV_1572,Valve Seat Material,UMPHWE
Eco_LOV_1572,Valve Seat Material,Lubricated Nylon
Eco_LOV_1572,Valve Seat Material,Glass Filled PTFE
Eco_LOV_1572,Valve Seat Material,TFEG
Eco_LOV_1572,Valve Seat Material,Stainless steel
Eco_LOV_1572,Valve Seat Material,Tetrafluoroethylene
Eco_LOV_1572,Valve Seat Material,Teflon<REG/>
Eco_LOV_1572,Valve Seat Material,Welded
Eco_LOV_1572,Valve Seat Material,Erosion
Eco_LOV_1572,Valve Seat Material,Xtreme PTFE
Eco_LOV_1572,Valve Seat Material,Polysulfone
Eco_LOV_1572,Valve Seat Material,PFA
